idno;ppltrst;pplfair;pplhlp;trstlgl;trstplc;trstplt;prtvtbse;happy;health;rlgdgr;gndr;agea;partner;edlvdse;iphlppl;imptrad;impfun
1;5;8;9;88;7;5;5;8;2;1;1;90;2;14;2;2;3
3;7;7;7;7;7;7;66;5;3;2;2;90;2;1;4;2;2
10;5;10;10;7;7;7;5;8;1;0;2;90;2;3;8;8;8
14;7;7;5;5;5;3;2;8;1;7;2;90;2;1;1;1;2
15;6;6;8;8;10;7;3;10;2;5;2;90;2;4;1;1;5
16;10;5;5;88;10;5;6;10;3;0;1;90;2;12;5;4;3
23;10;10;5;7;7;5;6;8;3;5;2;90;2;1;2;1;4
28;88;88;7;3;5;4;10;7;3;5;1;90;2;2;2;2;4
30;8;3;5;5;8;8;6;7;2;6;2;90;2;2;3;3;3
33;4;7;8;2;4;0;66;5;2;3;1;90;1;2;1;1;1
40;4;10;10;4;10;88;2;10;2;0;2;90;1;2;3;3;4
41;7;7;8;9;7;4;5;7;4;0;1;90;2;18;2;3;2
44;10;10;7;6;8;5;5;8;1;7;2;90;2;6;2;2;1
48;8;7;8;7;9;7;6;8;3;8;2;90;2;3;3;2;2
49;0;10;10;10;8;0;6;10;2;0;2;90;2;2;2;1;2
57;4;7;6;5;7;5;88;8;3;1;1;90;1;2;2;3;1
58;10;10;10;2;9;6;3;8;2;10;2;90;2;12;2;1;8
59;5;6;7;6;6;3;66;9;3;7;2;90;2;18;3;4;5
62;7;10;8;7;7;6;1;8;3;1;1;89;2;2;4;5;3
64;6;8;7;5;8;5;3;5;3;3;2;89;2;1;1;3;5
73;5;9;6;5;4;5;5;4;4;5;1;90;1;12;8;8;8
74;6;5;3;5;5;0;1;8;2;4;2;89;2;2;1;1;1
75;5;7;9;5;7;5;6;7;3;0;1;89;1;2;2;2;2
76;5;7;9;9;9;9;1;9;3;8;1;88;2;2;5;4;2
77;8;5;8;6;0;4;5;6;3;2;1;88;2;1;2;2;3
79;10;10;5;3;7;7;6;10;3;5;1;88;2;3;6;1;4
86;5;4;6;1;1;2;6;4;2;3;2;88;2;6;3;5;4
87;7;8;5;7;6;4;5;10;1;1;1;88;1;18;3;2;1
88;9;10;8;8;9;6;66;8;3;7;1;88;1;12;2;3;2
92;3;7;3;0;4;4;7;8;3;2;2;87;2;1;4;4;4
94;3;2;10;0;4;0;1;77;7;77;9;999;9;7777;7;7;7
95;4;6;8;1;4;2;1;8;3;8;2;87;2;9;1;1;1
98;7;9;8;8;8;6;2;8;2;6;1;87;1;3;2;3;4
99;7;8;8;8;8;7;4;5;1;0;2;87;2;13;2;5;1
103;6;6;4;4;2;3;5;8;1;4;1;87;1;2;4;2;2
105;5;7;6;4;4;3;88;8;3;4;1;87;1;3;2;2;2
106;5;7;5;7;7;4;5;9;1;5;2;86;2;1;1;3;1
110;8;8;9;10;10;7;1;9;2;10;2;86;2;3;1;1;1
111;6;6;8;5;3;2;7;3;3;2;1;86;2;2;1;3;3
117;6;7;9;7;8;8;6;10;3;0;1;85;1;2;1;5;2
118;5;10;9;7;7;7;88;10;3;8;2;85;2;2;2;1;3
119;5;10;5;9;10;8;5;8;3;5;1;85;2;15;3;1;2
121;6;3;8;7;6;5;6;7;3;2;2;85;2;2;3;4;5
122;5;5;5;5;5;3;6;7;3;3;1;85;2;6;4;4;4
127;10;10;9;0;8;2;6;8;3;3;2;85;2;2;2;5;2
129;1;7;7;5;7;3;66;3;2;6;2;85;2;2;1;3;3
131;5;9;9;4;10;5;5;8;2;5;2;84;2;3;2;3;3
134;8;8;8;8;7;7;6;4;1;3;1;84;2;4;1;2;2
135;8;7;7;8;8;7;5;8;1;1;1;84;2;12;2;4;4
137;9;8;8;8;8;8;6;8;3;0;2;84;2;3;2;2;3
139;5;5;6;88;10;2;6;7;2;3;2;84;2;2;2;3;4
140;2;7;6;6;6;3;1;6;3;4;1;84;1;2;1;1;1
143;8;9;9;10;9;7;5;7;2;0;1;84;1;12;1;2;3
147;7;5;6;5;6;4;5;8;2;5;2;84;2;3;2;2;3
150;8;10;9;6;6;8;5;7;3;0;2;84;2;4;2;5;5
154;7;7;7;6;8;5;6;8;1;0;2;84;2;11;2;5;4
155;8;8;7;5;4;3;66;8;4;8;2;84;2;13;1;4;3
159;5;6;5;7;7;5;1;8;2;7;2;83;1;4;3;2;2
160;88;88;5;3;3;2;10;8;1;2;1;83;1;8;5;2;3
